cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,1,1440,3072,ck,3,0,11.3942,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,0.7765,388.635,0.0
304,4,1440,3072,ck,3,0,11.6838,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,3.0289,380.1608,0.0
304,8,1440,3072,ck,8,0,11.9746,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.9108,372.4374,0.0
304,16,1440,3072,ck,8,0,11.7713,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.0257,381.9347,0.0
304,32,1440,3072,ck,8,0,12.2124,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,23.1826,374.0515,0.0
304,64,1440,3072,ck,8,0,12.0568,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.9636,390.8534,0.0
304,128,1440,3072,ck,6,0,12.0,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,94.3721,416.7691,0.0
304,256,1440,3072,ck,3,0,13.4184,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,168.7918,415.7524,0.0
304,512,1440,3072,ck,3,0,13.7511,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,329.418,489.6948,0.0
304,1024,1440,3072,ck,2,0,21.0398,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,430.5988,429.8512,0.0
304,2048,1440,3072,ck,0,0,34.19,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,529.962,399.6567,0.0
304,4096,1440,3072,ck,2,0,66.7891,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,542.5855,342.9428,0.0
304,8192,1440,3072,ck,0,0,105.0688,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,689.8105,393.8941,0.0
304,16384,1440,3072,ck,0,0,193.744,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,748.1788,404.3908,0.0
